parcel_id,tax_district,land_use,sale_year,actual,predicted,residual,residual_z
044 13 0 014.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2014,442816.68187347933,138258.52831922323,304558.1535542561,4.097869254748455
119 01 0 265.00,URBAN SERVICES DISTRICT,DUPLEX,2016,157726.7017211998,221267.5309068586,-63540.829185658804,-0.8502269803652364
094 05 0 036.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,343021.77902850846,265453.28062952333,77568.49839898513,1.0466066575976791
136 07 0 107.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,140225.28259326846,126501.82164109938,13723.460952169087,0.18838263570600658
073 11 0 078.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,157259.26832252537,142717.62168699165,14541.646635533718,0.19938093151586203
108 03 0 209.00,GENERAL SERVICES DISTRICT,ZERO LOT LINE,2013,81000.0,86909.57525785745,-5909.575257857447,-0.07553048850744155
131 13 0 031.00,CITY OF FOREST HILLS,SINGLE FAMILY,2015,879669.0321791264,679946.0099930356,199723.02218609082,2.688644173577866
102 14 0 013.00,URBAN SERVICES DISTRICT,DUPLEX,2013,160000.0,305455.8869646443,-145455.8869646443,-1.951353601195116
081 12 0 360.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,464900.0,307520.7126813139,157379.28731868608,2.119447069259603
165 14 0 085.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,117944.45124189404,123965.16038170725,-6020.709139813203,-0.07702438327130563
118 06 0 019.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,752788.3591849149,595026.5621179631,157761.79706695175,2.124588879299934
133 06 0 194.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,139900.0,123370.97068358831,16529.02931641169,0.2260959218366329
025 12 0 086.00,CITY OF GOODLETTSVILLE,SINGLE FAMILY,2014,42313.59404568803,170338.70074839686,-128025.10670270884,-1.717043857801673
098 01 0 004.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,216352.50346864882,229947.78023775725,-13595.27676910843,-0.17884397888700856
131 07 0 166.00,URBAN SERVICES DISTRICT,ZERO LOT LINE,2014,428056.12581103004,374998.6324523973,53057.493358632724,0.7171224225251949
072 03 0 169.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,315453.4034423996,304437.8411125342,11015.562329865352,0.15198225535625196
106 14 0 118.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,78629.63416126269,135675.8578236196,-57046.223662356904,-0.7629245572528509
147 10 0 015.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,210583.93315761018,201137.43529509887,9446.497862511314,0.13089042313825627
160 11 0 073.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,329163.30600758595,323474.3859308353,5688.920076750626,0.08037994262436056
096 10 0 097.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,95000.0,101248.63755129179,-6248.6375512917875,-0.08008826491074363
