parcel_id,property_address,property_city,sale_date,sale_year,sale_price,sale_price_real,land_use,tax_district,sold_as_vacant,price_outlier_flag,latitude,longitude,tract_fips,median_hh_income,total_population,poverty_rate,vacancy_rate,income_quintile
105 03 0D 008.00,1208  3RD AVE S,NASHVILLE,2013-01-24,2013,132000.0,132000.0,RESIDENTIAL CONDO,,N,CLEAN,36.145079853186,-86.765413743546,47037016000,34688.0,910.0,0.35494505494505496,0.12951167728237792,Q1 (Lowest)
105 11 0 080.00,1802  STEWART PL,NASHVILLE,2013-01-11,2013,191500.0,191500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.135106070153,-86.77135015949,47037016100,29006.0,2018.0,0.2591674925668979,0.09380863039399624,Q1 (Lowest)
118 03 0 130.00,2761  ROSEDALE PL,NASHVILLE,2013-01-18,2013,202000.0,202000.0,SINGLE FAMILY,CITY OF BERRY HILL,N,CLEAN,36.124132569064,-86.763162422088,47037017200,38869.0,1459.0,0.25839616175462643,0.059941520467836254,Q2
119 01 0 479.00,224  PEACHTREE ST,NASHVILLE,2013-01-18,2013,32000.0,32000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.120193636101,-86.743981000166,47037017300,37917.0,3337.0,0.27749475576865446,0.07371556217423679,Q2
119 05 0 186.00,316  LUTIE ST,NASHVILLE,2013-01-23,2013,102000.0,102000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.117728458183,-86.746889821966,47037017300,37917.0,3337.0,0.27749475576865446,0.07371556217423679,Q2
119 05 0 387.00,2626  FOSTER AVE,NASHVILLE,2013-01-04,2013,93736.0,93736.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.115659210861,-86.743496956296,47037017300,37917.0,3337.0,0.27749475576865446,0.07371556217423679,Q2
119 10 0A 104.00,104  PRESCOTT PL,NASHVILLE,2013-01-07,2013,64900.0,64900.0,RESIDENTIAL CONDO,,N,CLEAN,36.110250161434,-86.73700324321,47037017401,40694.0,2420.0,0.15495867768595042,0.07342995169082125,Q2
119 13 0 183.00,501  MORTON AVE,NASHVILLE,2013-01-15,2013,44000.0,44000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.106304538383,-86.744647277894,47037017500,32237.0,2913.0,0.3117061448678338,0.0584045584045584,Q1 (Lowest)
119 13 0 183.00,501  MORTON AVE,NASHVILLE,2013-01-25,2013,49900.0,49900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.106304538383,-86.744647277894,47037017500,32237.0,2913.0,0.3117061448678338,0.0584045584045584,Q1 (Lowest)
119 15 0 158.00,113  NEESE DR,NASHVILLE,2013-01-09,2013,25000.0,25000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.1071295153,-86.721605312978,47037017402,36102.0,6020.0,0.291084497671324,0.06908016254155892,Q2
133 07 0 195.00,184  WHEELER AVE,NASHVILLE,2013-01-18,2013,90000.0,90000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.095136989765,-86.728149614105,47037017402,36102.0,6020.0,0.291084497671324,0.06908016254155892,Q2
133 14 0 084.00,4832  CORNING DR,NASHVILLE,2013-01-23,2013,55000.0,55000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,36.083110786898,-86.732241443163,47037018901,48136.0,2764.0,0.2134587554269175,0.10575635876840696,Q3
146 15 0 123.00,5100  OVERTON RD,NASHVILLE,2013-01-04,2013,262500.0,262500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.065274197506,-86.761802750123,47037018801,94595.0,5856.0,0.04426002766251729,0.05806451612903226,Q5 (Highest)
147 12 0A 109.00,109  NORTHCREST COMMONS CIR,NASHVILLE,2013-01-16,2013,127500.0,127500.0,RESIDENTIAL CONDO,,N,CLEAN,36.06693192494,-86.719972940408,47037018904,43878.0,3992.0,0.2595477386934673,0.08759553203997648,Q2
148 01 0 188.00,281  COMROE RD,NASHVILLE,2013-01-31,2013,112500.0,112500.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,36.081015092783,-86.707470526544,47037019003,37134.0,4740.0,0.3269108617404192,0.1220682302771855,Q2
148 10 0 051.00,3922  CREEKSIDE DR,NASHVILLE,2013-01-08,2013,134000.0,134000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.067693459672,-86.700073886495,47037019108,35721.0,3282.0,0.24558196221815967,0.10879284649776454,Q1 (Lowest)
148 14 0 004.00,4907  PACKARD DR,NASHVILLE,2013-01-18,2013,48000.0,48000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.063347118456,-86.700087936086,47037019108,35721.0,3282.0,0.24558196221815967,0.10879284649776454,Q1 (Lowest)
148 14 0 062.00,3805  CREEKSIDE DR,NASHVILLE,2013-01-22,2013,127000.0,127000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.064718220562,-86.694657824784,47037019108,35721.0,3282.0,0.24558196221815967,0.10879284649776454,Q1 (Lowest)
148 15 0 231.00,225  CLIPPER CT,NASHVILLE,2013-01-08,2013,92900.0,92900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.061722405109,-86.687813374195,47037019109,43255.0,5337.0,0.16844669289863218,0.0400890868596882,Q2
160 03 0 127.00,5316  OVERTON RD,NASHVILLE,2013-01-04,2013,267300.0,267300.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.057049788088,-86.762828917544,47037018801,94595.0,5856.0,0.04426002766251729,0.05806451612903226,Q5 (Highest)
160 11 0A 088.00,5510  HEARTHSTONE LN,BRENTWOOD,2013-01-15,2013,270000.0,270000.0,SINGLE FAMILY,,N,CLEAN,36.04438282344,-86.768320613701,47037018803,69710.0,3030.0,0.061446977205153616,0.043209876543209874,Q5 (Highest)
160 16 0B 019.00,6144  BRENTWOOD CHASE DR,BRENTWOOD,2013-01-25,2013,295000.0,295000.0,SINGLE FAMILY,,N,CLEAN,36.041066405228,-86.758637662596,47037018803,69710.0,3030.0,0.061446977205153616,0.043209876543209874,Q5 (Highest)
161 02 0 005.00,641  MCMURRAY DR,NASHVILLE,2013-01-28,2013,187000.0,187000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.055156615437,-86.734391999126,47037019105,37598.0,6082.0,0.3207982846775524,0.07823392718822618,Q2
161 10 0A 139.00,5229  CARDIFF DR,NASHVILLE,2013-01-25,2013,137000.0,137000.0,SINGLE FAMILY,,N,CLEAN,36.046892151159,-86.734136838337,47037019106,53150.0,4054.0,0.07850931677018634,0.08583690987124463,Q4
161 10 0B 164.00,4717  CHEPSTOW DR,NASHVILLE,2013-01-25,2013,216000.0,216000.0,SINGLE FAMILY,,N,CLEAN,36.043916310558,-86.729560668447,47037019106,53150.0,4054.0,0.07850931677018634,0.08583690987124463,Q4
161 11 0A 151.00,302  HUNTINGTON RIDGE DR,NASHVILLE,2013-01-15,2013,101000.0,101000.0,RESIDENTIAL CONDO,,N,CLEAN,36.048414625876,-86.724813126819,47037019105,37598.0,6082.0,0.3207982846775524,0.07823392718822618,Q2
161 11 0C 018.00,324  YORKSHIRE CIR,NASHVILLE,2013-01-04,2013,113000.0,113000.0,RESIDENTIAL CONDO,,N,CLEAN,36.045226881252,-86.725933350957,47037019106,53150.0,4054.0,0.07850931677018634,0.08583690987124463,Q4
162 02 0A 008.00,744  HILL BENNETT CIR,ANTIOCH,2013-01-07,2013,134825.0,134825.0,SINGLE FAMILY,,N,CLEAN,36.055208043452,-86.692712356404,47037019109,43255.0,5337.0,0.16844669289863218,0.0400890868596882,Q2
162 06 0 012.00,152  TUSCULUM RD,ANTIOCH,2013-01-15,2013,109900.0,109900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.053431656869,-86.690506386493,47037019109,43255.0,5337.0,0.16844669289863218,0.0400890868596882,Q2
162 13 0A 015.00,2321  GREEN TRAILS CT,ANTIOCH,2013-01-04,2013,152950.0,152950.0,SINGLE FAMILY,,N,CLEAN,36.041271647808,-86.701591748205,47037019112,59688.0,4603.0,0.18671023965141612,0.02006269592476489,Q4
171 03 0B 082.00,641  OLD HICKORY BLVD,BRENTWOOD,2013-01-25,2013,261000.0,261000.0,RESIDENTIAL CONDO,,N,CLEAN,36.040036542064,-86.76659654302,47037018804,107555.0,5309.0,0.05952156715012243,0.015532206486980357,Q5 (Highest)
171 03 0B 212.00,601  OLD HICKORY BLVD,BRENTWOOD,2013-01-18,2013,180000.0,180000.0,RESIDENTIAL CONDO,,N,CLEAN,36.039671449872,-86.759747938675,47037018804,107555.0,5309.0,0.05952156715012243,0.015532206486980357,Q5 (Highest)
171 04 0C 051.00,835  BARRINGTON PLACE DR,BRENTWOOD,2013-01-10,2013,254800.0,254800.0,RESIDENTIAL CONDO,,N,CLEAN,36.038452651774,-86.753738440708,47037018804,107555.0,5309.0,0.05952156715012243,0.015532206486980357,Q5 (Highest)
171 08 0C 011.00,5834  PETERSBURG LN,BRENTWOOD,2013-01-07,2013,80000.0,80000.0,VACANT RES LAND,,N,CLEAN,36.030737597285,-86.757980698443,47037018804,107555.0,5309.0,0.05952156715012243,0.015532206486980357,Q5 (Highest)
172 12 0B 226.00,6140  BRADFORD HILLS DR,NASHVILLE,2013-01-25,2013,183800.0,183800.0,SINGLE FAMILY,,N,CLEAN,36.024716793113,-86.721220928411,47037019116,52792.0,6655.0,0.15433308214016578,0.07181964573268922,Q3
172 15 0A 267.00,2601  POLO CT,NASHVILLE,2013-01-08,2013,210000.0,210000.0,SINGLE FAMILY,,N,CLEAN,36.019264002305,-86.730085867327,47037019116,52792.0,6655.0,0.15433308214016578,0.07181964573268922,Q3
172 15 0C 002.00,4050  BRYCE RD,NASHVILLE,2013-01-22,2013,337000.0,337000.0,SINGLE FAMILY,,N,CLEAN,36.02011097731,-86.730571289686,47037019116,52792.0,6655.0,0.15433308214016578,0.07181964573268922,Q3
