parcel_id,sale_date,sale_year,sale_price,land_use,tax_district,sold_as_vacant,price_outlier_flag,sale_price_real
105 03 0D 008.00,2013-01-24,2013,132000.0,RESIDENTIAL CONDO,,N,CLEAN,132000.0
105 11 0 080.00,2013-01-11,2013,191500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,191500.0
118 03 0 130.00,2013-01-18,2013,202000.0,SINGLE FAMILY,CITY OF BERRY HILL,N,CLEAN,202000.0
119 01 0 479.00,2013-01-18,2013,32000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,32000.0
119 05 0 186.00,2013-01-23,2013,102000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,102000.0
119 05 0 387.00,2013-01-04,2013,93736.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,93736.0
119 10 0A 104.00,2013-01-07,2013,64900.0,RESIDENTIAL CONDO,,N,CLEAN,64900.0
119 13 0 183.00,2013-01-15,2013,44000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,44000.0
119 13 0 183.00,2013-01-25,2013,49900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,49900.0
119 15 0 158.00,2013-01-09,2013,25000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,25000.0
133 07 0 195.00,2013-01-18,2013,90000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,90000.0
133 12 0 153.00,2013-01-11,2013,72000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,72000.0
133 12 0 268.00,2013-01-04,2013,120000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,120000.0
133 14 0 084.00,2013-01-23,2013,55000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,55000.0
134 13 0 004.00,2013-01-18,2013,115900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,115900.0
134 13 0 077.00,2013-01-17,2013,120000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,120000.0
146 15 0 123.00,2013-01-04,2013,262500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,262500.0
147 03 0B 089.00,2013-01-29,2013,31416.0,RESIDENTIAL CONDO,,N,CLEAN,31416.0
147 12 0A 109.00,2013-01-16,2013,127500.0,RESIDENTIAL CONDO,,N,CLEAN,127500.0
148 01 0 188.00,2013-01-31,2013,112500.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,112500.0
148 10 0 051.00,2013-01-08,2013,134000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,134000.0
148 14 0 004.00,2013-01-18,2013,48000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,48000.0
148 14 0 062.00,2013-01-22,2013,127000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,127000.0
148 15 0 231.00,2013-01-08,2013,92900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,92900.0
160 03 0 127.00,2013-01-04,2013,267300.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,267300.0
160 11 0A 088.00,2013-01-15,2013,270000.0,SINGLE FAMILY,,N,CLEAN,270000.0
160 16 0B 019.00,2013-01-25,2013,295000.0,SINGLE FAMILY,,N,CLEAN,295000.0
161 02 0 005.00,2013-01-28,2013,187000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,187000.0
161 10 0A 139.00,2013-01-25,2013,137000.0,SINGLE FAMILY,,N,CLEAN,137000.0
161 10 0B 164.00,2013-01-25,2013,216000.0,SINGLE FAMILY,,N,CLEAN,216000.0
161 11 0A 151.00,2013-01-15,2013,101000.0,RESIDENTIAL CONDO,,N,CLEAN,101000.0
161 11 0C 018.00,2013-01-04,2013,113000.0,RESIDENTIAL CONDO,,N,CLEAN,113000.0
162 02 0A 008.00,2013-01-07,2013,134825.0,SINGLE FAMILY,,N,CLEAN,134825.0
162 06 0 012.00,2013-01-15,2013,109900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,109900.0
162 13 0A 015.00,2013-01-04,2013,152950.0,SINGLE FAMILY,,N,CLEAN,152950.0
171 03 0B 082.00,2013-01-25,2013,261000.0,RESIDENTIAL CONDO,,N,CLEAN,261000.0
171 03 0B 193.00,2013-01-17,2013,234900.0,RESIDENTIAL CONDO,,N,CLEAN,234900.0
171 03 0B 212.00,2013-01-18,2013,180000.0,RESIDENTIAL CONDO,,N,CLEAN,180000.0
171 04 0C 051.00,2013-01-10,2013,254800.0,RESIDENTIAL CONDO,,N,CLEAN,254800.0
171 08 0C 011.00,2013-01-07,2013,80000.0,VACANT RES LAND,,N,CLEAN,80000.0
172 12 0B 226.00,2013-01-25,2013,183800.0,SINGLE FAMILY,,N,CLEAN,183800.0
172 12 0D 063.00,2013-01-07,2013,153900.0,SINGLE FAMILY,,N,CLEAN,153900.0
172 12 0D 428.00,2013-01-10,2013,116500.0,RESIDENTIAL CONDO,,N,CLEAN,116500.0
172 15 0A 267.00,2013-01-08,2013,210000.0,SINGLE FAMILY,,N,CLEAN,210000.0
172 15 0C 002.00,2013-01-22,2013,337000.0,SINGLE FAMILY,,N,CLEAN,337000.0
173 04 0A 202.00,2013-01-18,2013,195000.0,SINGLE FAMILY,,N,CLEAN,195000.0
173 04 0A 274.00,2013-01-18,2013,230000.0,SINGLE FAMILY,,N,CLEAN,230000.0
173 08 0A 094.00,2013-01-22,2013,105000.0,VACANT RES LAND,,N,CLEAN,105000.0
173 08 0A 119.00,2013-01-29,2013,45000.0,VACANT RES LAND,,N,CLEAN,45000.0
173 08 0A 141.00,2013-01-22,2013,105000.0,VACANT RES LAND,,N,CLEAN,105000.0
173 08 0A 142.00,2013-01-22,2013,105000.0,VACANT RES LAND,,N,CLEAN,105000.0
173 09 0A 038.00,2013-01-18,2013,170000.0,SINGLE FAMILY,,N,CLEAN,170000.0
